"","100-CA1-1","100-CA1-2","100-CA1-3","100-CA3-1","100-CA3-4","100-DG-2","100-DG-3","101-CA1-1","101-CA1-2","101-CA1-3","101-CA3-1","101-CA3-4","101-DG-3","101-DG-4"
"Oprk1-001_4675",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Oprk1-002_1376",0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Oprk1-003_2481",0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Npbwr1-001_3692",1,5,3,4,1,0,0,0,0,0,0,0,0,0
"Rb1cc1-009_656",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Rb1cc1-014_690",0,6,2,5,11,0,13,2,0,0,0,0,0,0
"Rb1cc1-001_7607",3,9,15,12,3,10,13,6,0,0,3,8,0,0
"Rb1cc1-008_520",0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Rb1cc1-011_2712",9,16,13,10,11,0,0,2,6,30,0,1,9,4
"Rb1cc1-003_5707",20,6,8,13,10,9,9,1,8,13,11,0,0,0
"Rb1cc1-012_2204",13,13,8,7,0,0,8,3,0,0,9,3,75,37
"Rb1cc1-005_898",0,0,0,0,13,21,0,0,0,0,0,0,0,0
"Fam150a-001_971",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"St18-004_5892",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"St18-005_5720",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"St18-001_5862",0,0,8,0,3,0,1,0,0,0,0,0,0,0
"St18-006_435",0,0,0,0,0,0,0,4,0,0,0,0,0,0
"St18-007_585",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"St18-002_4264",0,0,0,0,0,0,0,0,0,0,5,0,0,0
"St18-003_3533",6,0,0,5,5,5,11,0,4,25,0,0,0,0
"St18-008_792",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"St18-201_5604",0,3,0,5,6,5,20,0,0,18,6,7,0,26
"St18-011_684",0,1,0,0,0,0,2,0,0,0,0,0,0,0
"St18-014_720",0,0,0,8,0,0,0,0,0,0,3,1,0,0
"Pcmtd1-001_5232",75,55,65,71,37,34,34,28,33,24,37,31,19,36
"Pcmtd1-006_770",12,4,0,11,7,28,0,0,0,39,0,0,18,0
"Pcmtd1-002_1153",18,4,27,17,13,3,8,5,0,0,0,0,0,0
"Sntg1-004_4165",2,4,0,14,0,0,0,1,0,0,2,9,0,0
"Sntg1-010_4510",0,0,0,0,0,0,0,1,0,0,0,0,0,8
"Sntg1-001_4887",7,0,10,0,3,1,4,0,0,0,3,0,0,0
"Sntg1-005_4056",2,6,7,5,4,7,3,6,0,0,0,0,0,0
"Sntg1-201_1554",14,8,4,6,0,10,3,4,0,9,3,0,0,0
"Sntg1-003_3497",4,2,2,0,0,0,0,0,0,0,0,1,0,0
"Rrs1-001_2048",15,23,21,28,30,24,32,21,26,49,28,19,82,0
"Adhfe1-001_3239",0,2,0,2,0,3,0,0,0,0,0,0,0,0
"Adhfe1-002_2022",15,8,3,15,10,0,4,9,0,0,2,1,5,0
"Adhfe1-003_459",0,0,0,0,0,3,0,0,0,0,0,0,0,0
"Adhfe1-005_466",0,0,0,24,4,0,0,0,0,0,0,30,0,0
"Adhfe1-004_2021",0,0,0,0,0,0,3,4,0,0,4,1,7,0
"3110035E14Rik-001_3256",294,353,316,310,178,59,29,195,164,67,150,40,78,22
"Mybl1-001_4980",1,1,0,0,0,0,0,0,0,0,0,1,5,0
"Mybl1-002_2493",0,0,1,1,0,0,0,0,0,0,0,0,0,0
"Mybl1-005_799",0,0,0,4,0,2,3,0,0,0,0,0,0,0
"Vcpip1-001_9749",29,25,31,23,16,12,16,12,5,10,12,16,0,4
"Sgk3-004_3706",0,1,0,0,0,0,0,4,0,0,0,0,0,0
"Sgk3-002_3762",0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Sgk3-001_3779",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sgk3-006_2803",0,0,0,4,0,0,0,0,0,0,0,0,0,0
"Sgk3-007_3099",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sgk3-008_3680",2,0,3,0,2,0,2,0,0,0,0,0,0,0
"Sgk3-009_2728",7,3,0,0,0,0,0,0,5,10,2,0,0,0
"Mcmdc2-001_2826",0,1,2,4,0,0,1,1,0,0,1,0,0,0
"Mcmdc2-201_2553",0,0,3,3,0,4,1,0,0,0,0,0,0,0
"Mcmdc2-002_2003",0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Mcmdc2-004_3249",0,0,0,1,0,0,1,1,0,0,2,0,0,0
"Mcmdc2-003_2072",0,1,0,3,0,0,0,0,0,3,1,2,81,0
"Mcmdc2-005_749",9,19,30,29,28,9,16,9,15,116,7,11,60,72
"Tcf24-001_4193",0,0,0,1,0,0,0,0,0,0,1,3,0,3
"Tcf24-201_2639",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ppp1r42-005_541",0,0,0,3,0,0,4,0,0,0,0,17,125,0
"Ppp1r42-006_1313",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ppp1r42-001_1425",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Ppp1r42-002_941",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ppp1r42-007_732",0,1,2,0,0,0,0,0,0,0,0,0,0,0
"Cops5-001_1698",49,52,32,71,34,28,22,44,33,45,33,58,0,0
"Cops5-007_877",0,0,1,23,52,19,21,0,0,1,7,0,0,15
"Cops5-006_962",22,21,24,0,10,29,23,10,61,0,34,0,0,0
"Cops5-005_771",9,1,16,0,0,0,4,0,0,59,0,0,0,0
"Cspp1-019_345",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cspp1-004_4355",12,6,8,12,2,11,14,3,6,0,4,2,0,0
"Cspp1-001_1272",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cspp1-003_2162",1,2,1,1,0,0,0,0,0,0,0,0,0,0
"Cspp1-006_2535",1,0,0,0,1,4,5,1,0,0,0,0,0,0
"Cspp1-005_1268",0,3,0,0,0,0,0,0,0,0,2,1,0,0
"Cspp1-008_445",0,0,0,9,0,0,0,0,0,0,0,0,0,0
"Cspp1-017_3429",4,4,0,0,3,0,2,1,0,0,0,3,0,37
"Cspp1-007_458",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cspp1-024_538",0,1,0,0,5,7,12,2,0,0,15,0,0,90
"Cspp1-027_1074",0,0,7,7,0,0,0,0,0,0,8,12,0,0
"Arfgef1-002_6978",47,42,54,39,24,22,42,19,11,15,22,20,29,15
"Arfgef1-001_3424",0,0,3,0,0,0,0,0,0,24,0,0,0,18
"Cpa6-002_1814",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Cpa6-001_1932",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prex2-001_11053",12,9,9,14,9,11,9,7,7,3,5,12,24,10
"Prex2-007_726",0,2,0,0,0,21,6,0,0,0,0,0,0,0
"Prex2-008_769",0,0,0,0,0,9,0,0,0,0,0,0,0,0
"Prex2-005_2449",0,0,0,0,1,1,1,2,0,0,2,0,0,0
"Prex2-006_843",4,0,4,4,0,5,0,8,51,0,0,0,0,22
"A830018L16Rik-201_6158",0,5,7,1,4,0,12,5,2,0,3,0,0,0
"A830018L16Rik-001_2779",0,0,0,1,3,0,0,0,0,0,0,0,0,10
"A830018L16Rik-005_1816",0,0,5,10,0,17,7,2,0,43,0,1,40,0
"A830018L16Rik-003_6451",7,8,6,13,14,9,19,2,0,9,6,4,0,16
"A830018L16Rik-002_1880",0,0,0,0,0,0,9,0,0,0,0,0,0,0
"A830018L16Rik-009_1832",2,1,6,0,0,0,0,1,0,0,2,11,0,0
"A830018L16Rik-007_3566",6,0,0,0,0,0,0,0,0,0,0,0,6,0
"Sulf1-001_5598",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Sulf1-002_4636",0,0,0,0,0,1,0,0,0,0,0,1,0,0
"Sulf1-008_4563",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sulf1-004_4630",0,0,0,0,0,2,0,1,0,0,0,4,0,0
"Sulf1-005_366",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sulf1-006_815",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sulf1-009_2682",0,0,0,0,1,0,0,0,0,2,0,0,0,0
"Slco5a1-001_8463",0,0,0,1,1,1,2,0,0,0,0,1,0,0
"Slco5a1-201_8509",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Slco5a1-002_3690",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Slco5a1-003_5123",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Slco5a1-004_3437",0,0,0,1,0,0,0,0,0,0,1,0,0,0
"Slco5a1-005_3615",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prdm14-001_2564",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ncoa2-001_8171",37,16,5,0,0,0,8,4,0,0,0,0,0,0
"Ncoa2-201_8006",0,13,23,31,16,13,15,10,8,16,20,16,7,56
"Ncoa2-002_4897",12,12,16,23,2,1,7,3,9,0,0,6,16,0
"Ncoa2-007_423",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tram1-001_2938",21,13,11,19,17,26,22,12,17,20,14,16,0,37
"Tram1-003_498",0,5,0,0,0,0,2,0,0,0,0,0,0,0
"Lactb2-001_4494",5,8,9,12,4,14,11,6,6,13,4,4,5,14
"Xkr9-001_1926",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Eya1-201_4347",0,3,0,1,3,5,5,2,0,0,1,0,0,0
"Eya1-001_4366",0,0,0,0,3,0,1,0,0,0,0,0,0,0
"Eya1-002_3426",2,3,2,0,0,0,0,0,0,9,0,0,0,0
"Eya1-004_2199",1,0,3,0,0,0,1,2,0,0,0,1,0,15
"Eya1-008_430",0,0,3,0,0,6,0,0,0,0,0,0,0,0
"Eya1-007_725",0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Eya1-006_664",0,0,0,6,1,0,14,4,0,0,0,0,0,0
"Eya1-005_664",2,0,5,0,0,0,0,0,0,0,0,0,0,0
"Msc-001_1741",6,4,0,6,1,0,1,1,0,0,0,0,0,0
"Msc-003_741",0,4,0,0,0,0,0,0,0,0,2,0,0,0
"Trpa1-001_4263",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Kcnb2-002_3963",5,5,5,4,0,0,2,4,0,0,0,0,0,0
"Kcnb2-001_14845",10,3,6,4,1,4,1,2,0,1,1,1,1,1
"Terf1-001_2268",5,7,13,2,4,5,9,0,0,9,8,8,0,0
"Terf1-002_1581",1,4,0,7,1,0,5,3,17,30,0,0,16,2
"Sbspon-001_2748",0,2,0,1,1,2,2,2,9,0,0,0,0,0
"4930444P10Rik-003_868",0,0,1,3,6,2,3,2,0,0,4,0,0,0
"4930444P10Rik-001_1844",0,1,0,0,0,2,1,0,0,4,2,0,0,8
"4930444P10Rik-002_1001",0,0,0,0,0,0,0,0,0,0,0,0,0,34
"Rpl7-001_1163",156,193,182,240,212,291,407,222,520,342,236,165,1094,269
"Rpl7-003_838",60,128,141,134,94,220,162,168,0,0,103,154,0,286
"Rdh10-001_3587",8,5,4,11,9,5,10,3,0,5,3,0,25,4
"Stau2-001_3030",32,10,15,0,0,0,4,3,27,19,0,7,0,0
"Stau2-013_2907",0,0,5,0,0,0,0,0,0,0,0,0,0,0
"Stau2-012_2773",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stau2-003_2763",0,24,13,24,24,15,5,12,0,0,0,7,0,0
"Stau2-009_2735",2,0,4,0,0,0,3,0,0,0,5,0,28,20
"Stau2-016_3901",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stau2-006_3907",10,0,0,0,0,0,0,0,0,7,0,0,0,0
"Stau2-015_3616",0,0,0,4,5,0,0,0,0,0,9,0,0,0
"Stau2-004_2964",72,67,58,59,43,75,45,53,37,100,36,81,21,29
"Stau2-005_3081",0,4,0,0,0,0,0,0,0,0,0,0,0,0
"Stau2-014_2214",0,0,0,0,0,0,3,0,0,0,0,0,0,0
"Stau2-010_369",0,0,6,0,0,0,2,0,0,0,0,0,74,0
"Stau2-008_455",2,4,4,4,12,7,12,0,0,0,0,0,34,0
"Stau2-002_1151",0,0,0,0,0,4,0,0,0,0,0,0,0,0
"Stau2-011_564",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Stau2-017_585",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ube2w-006_1508",1,5,3,0,3,2,3,1,0,0,1,6,0,0
"Ube2w-001_2181",84,74,68,39,59,42,52,43,14,24,35,23,11,27
"Ube2w-003_493",0,9,0,0,0,16,0,0,26,0,0,0,0,0
"Tceb1-002_2014",67,67,102,84,64,79,72,61,125,91,64,40,0,13
"Tceb1-001_960",45,25,0,11,6,14,0,7,0,27,0,4,63,58
"Tceb1-004_641",0,0,29,0,31,0,3,7,0,0,18,61,0,0
"Tceb1-005_620",0,0,14,0,0,0,4,0,0,0,0,0,23,0
"Tceb1-006_742",17,11,7,5,0,0,17,23,0,0,0,0,0,0
"Tceb1-009_366",80,14,0,0,25,34,8,95,0,0,0,0,289,0
"Tceb1-007_534",0,5,0,0,0,0,4,0,0,0,0,0,0,0
"Tmem70-001_1636",34,6,11,0,18,0,8,6,0,92,16,0,30,0
"Tmem70-002_1710",0,45,42,41,15,34,33,26,47,0,33,36,0,133
"Ly96-001_632",9,0,4,3,9,13,2,0,27,0,2,0,0,0
"Ly96-002_429",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jph1-002_614",0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Jph1-001_4809",41,31,34,31,12,29,65,15,17,5,10,1,9,58
"Gdap1-001_3949",72,65,61,68,57,49,46,26,13,24,38,29,6,17
"Gdap1-003_1058",0,5,5,0,0,0,0,0,0,0,0,0,0,0
"Pi15-001_6923",5,5,5,6,4,5,6,1,0,1,3,0,10,8
"Crispld1-002_3117",5,0,3,2,2,0,0,0,0,0,0,0,0,0
"Crispld1-003_812",0,5,0,0,0,1,0,0,0,0,0,0,0,0
"Crispld1-001_4472",1,4,6,3,0,12,0,2,0,1,0,0,0,0
"Crisp4-001_1252",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crisp4-201_1179",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crisp4-002_960",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Defb18-001_258",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Defb41-002_467",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Defb41-001_198",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tfap2d-001_1761",0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Tfap2b-001_5863",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Tfap2b-002_3023",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tfap2b-003_1946",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pkhd1-001_12935",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Il17a-001_1171",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Il17f-001_1178",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Il17f-003_825",2,0,0,0,0,0,1,0,0,0,0,0,0,64
"Mcm3-001_3031",4,1,1,2,2,0,3,3,8,0,1,4,0,5
"Paqr8-001_5330",35,24,29,19,24,34,6,30,19,0,32,42,0,0
"Paqr8-002_4704",4,20,8,13,17,0,24,2,0,11,0,24,27,61
"Paqr8-201_1472",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Paqr8-003_1463",3,0,11,27,1,5,3,0,29,32,14,0,75,0
"Efhc1-001_2146",3,0,3,1,0,1,0,1,0,0,0,0,0,0
"Tram2-001_6492",0,0,0,0,0,2,0,0,0,0,0,0,0,0
"Tmem14a-001_1168",18,39,40,24,37,58,15,13,12,0,23,30,0,48
"Tmem14a-002_1261",2,20,12,21,19,0,11,6,0,0,14,19,41,0
"Gsta3-001_1457",0,2,2,0,2,1,1,1,0,0,0,0,0,0
"Gsta3-002_894",0,4,10,2,0,0,0,2,0,0,7,0,0,0
"Gsta3-003_742",0,4,0,2,0,3,1,0,0,0,0,16,0,0
"Khdc1a-001_1987",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Khdc1c-001_1946",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Khdc1b-001_2236",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kcnq5-002_6562",11,13,23,12,38,12,0,7,4,17,0,24,0,0
"Kcnq5-001_6975",1,0,7,0,0,4,0,0,0,0,12,2,0,0
"Kcnq5-006_2472",7,5,6,0,1,3,0,0,0,0,0,16,9,0
"Kcnq5-007_2648",0,0,0,0,0,0,0,0,0,42,0,0,0,0
"Kcnq5-008_2775",7,0,1,2,0,0,0,0,0,0,0,0,0,0
"Rims1-205_6107",18,1,0,0,15,0,11,1,0,12,4,8,29,0
"Rims1-201_5954",0,7,3,0,0,11,0,9,21,0,21,5,0,20
"Rims1-204_6446",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rims1-203_6362",0,5,0,0,0,19,6,0,0,0,0,3,0,0
"Rims1-202_6179",4,7,15,25,19,0,2,0,0,0,3,20,0,0
"Rims1-206_2294",14,22,18,25,23,41,30,7,0,66,27,44,0,15
"Rims1-002_2189",13,14,16,8,20,21,14,5,0,43,5,9,0,0
"Rims1-001_2411",43,37,35,48,40,39,18,17,11,41,30,45,0,57
"4933415F23Rik-001_1781",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ogfrl1-001_4844",75,56,79,64,126,111,79,40,54,249,65,176,116,103
"Ogfrl1-002_808",0,0,0,0,49,29,0,0,44,0,28,0,0,18
"B3gat2-002_1488",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"B3gat2-001_5655",1,2,3,3,8,11,2,2,3,11,1,12,0,13
"B3gat2-003_1737",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Smap1-001_2289",88,88,87,71,89,90,51,39,50,48,49,22,41,0
"Smap1-003_1365",0,0,0,11,0,0,26,1,1,69,0,48,0,20
"Sdhaf4-001_683",84,60,55,27,50,40,39,37,49,25,13,12,222,0
"Fam135a-008_2013",3,3,0,2,0,0,1,0,0,0,10,0,12,0
"Fam135a-006_5122",0,0,5,0,4,0,0,2,0,0,0,7,0,0
"Fam135a-004_5194",0,0,0,0,0,0,3,0,0,0,0,0,0,0
"Fam135a-005_4976",5,0,0,0,0,6,0,4,0,0,0,0,0,19
"Fam135a-007_2564",0,1,2,2,0,0,8,2,0,0,0,4,0,0
"Fam135a-001_5536",7,8,11,10,2,1,7,4,0,3,3,4,0,0
"Fam135a-009_483",0,0,0,0,0,2,6,0,0,0,0,0,0,0
"Fam135a-003_2931",0,2,0,3,0,0,0,0,4,0,0,0,8,0
"Col9a1-001_3834",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Col9a1-002_3059",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Col19a1-001_4266",0,6,6,12,7,13,0,0,0,0,1,18,0,0
"Col19a1-003_3336",5,1,0,0,0,0,0,0,0,10,1,0,0,0
"Lmbrd1-001_4453",27,38,41,42,27,29,10,13,14,50,11,1,0,0
"Lmbrd1-004_688",6,3,24,0,5,18,2,9,0,20,18,6,44,0
"Lmbrd1-003_448",10,4,0,0,0,0,0,0,0,0,0,39,0,0
"Lmbrd1-002_5228",30,19,26,47,31,41,32,22,45,4,30,46,59,36
"Lmbrd1-005_529",37,0,0,23,0,0,0,2,0,0,0,0,0,0
"Adgrb3-006_2953",44,47,45,23,35,33,27,41,46,45,40,5,0,0
"Adgrb3-002_4467",0,1,0,0,9,1,0,0,0,0,0,0,0,0
"Adgrb3-008_5432",0,0,0,0,0,0,0,0,0,0,0,0,8,0
"Adgrb3-001_5448",23,38,74,59,2,0,13,12,14,0,0,0,1,25
"Adgrb3-201_5059",35,9,5,0,7,15,9,6,0,11,16,18,0,0
"4931408C20Rik-001_4318",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm597-001_2887",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Phf3-003_7567",6,5,7,5,3,4,7,2,0,1,4,4,0,4
"Phf3-201_7561",13,12,17,12,8,10,16,5,0,2,8,9,0,10
"Phf3-010_2939",7,9,11,15,12,5,12,3,26,0,0,0,0,11
"Phf3-006_1309",1,2,3,11,7,1,1,8,32,0,0,0,0,0
"Phf3-007_941",0,4,8,5,0,0,1,3,0,0,0,8,0,0
"Phf3-012_416",0,0,4,0,0,6,0,0,0,0,0,0,0,0
"Ptp4a1-001_4145",18,23,23,17,16,11,20,17,37,33,24,13,0,0
"Ptp4a1-005_2851",50,54,66,68,40,59,51,20,49,112,52,62,73,102
"Ptp4a1-006_135",0,0,66,0,0,0,0,0,0,0,32,0,0,0
"4931428L18Rik-004_366",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4931428L18Rik-001_1009",7,8,12,5,0,3,17,1,0,0,5,0,0,0
"4931428L18Rik-003_423",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4931428L18Rik-002_889",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lgsn-001_1937",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lgsn-002_1586",0,0,0,0,0,0,2,0,0,0,0,0,0,0
"Pih1d3-001_1451",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Khdrbs2-001_2281",4,6,9,3,0,8,17,3,0,0,2,0,0,20
"Khdrbs2-002_3259",2,3,4,2,3,1,3,3,0,2,1,0,0,0
"Khdrbs2-003_5278",1,2,1,1,1,0,3,1,2,0,0,0,0,2
"Khdrbs2-004_543",3,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm5415-001_3609",5,6,5,6,3,3,4,2,11,0,2,1,0,7
"Prim2-001_1975",7,4,2,2,1,2,5,2,0,0,4,1,0,11
"Rab23-001_4322",20,9,8,14,8,0,15,10,0,0,9,1,0,11
"Rab23-002_4398",0,0,4,0,0,11,0,0,0,0,0,0,0,0
"Rab23-003_4218",0,0,0,0,2,0,0,0,0,25,0,4,0,0
"Bag2-001_1860",7,14,5,6,7,10,4,8,7,4,8,4,0,2
"Bag2-004_378",0,5,5,0,2,0,0,6,0,0,0,0,0,55
"Zfp451-002_3578",0,0,2,8,1,7,7,3,0,0,5,3,0,0
"Zfp451-001_3958",8,7,7,0,6,0,0,3,3,0,0,0,0,2
"Zfp451-003_674",0,0,0,0,0,0,1,10,0,0,0,6,0,0
"Zfp451-008_704",5,0,9,0,0,23,0,0,0,0,0,0,0,57
"Zfp451-005_801",0,0,0,9,0,0,0,0,0,0,0,0,36,0
"Zfp451-004_11876",8,9,11,7,6,7,9,3,3,10,5,5,0,9
"Bend6-003_2231",0,0,0,0,4,0,0,0,0,0,0,0,0,15
"Bend6-002_1750",0,0,0,0,0,0,0,0,15,18,12,0,0,0
"Bend6-001_2487",55,44,46,65,52,56,51,25,0,24,28,33,28,0
"Dst-004_23201",1,1,3,1,0,1,0,1,0,0,1,0,0,0
"Dst-007_4539",0,4,6,0,0,0,0,0,0,0,0,4,0,0
"Dst-005_2704",0,0,0,2,0,0,2,1,0,0,0,0,0,0
"Dst-006_2643",1,0,0,0,1,2,1,0,0,0,0,0,0,3
"Dst-002_17212",45,39,49,50,21,21,25,12,9,23,21,36,17,8
"Dst-201_23279",0,0,0,0,0,0,0,0,0,0,0,0,0,14
"Dst-001_23251",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dst-003_8788",0,0,1,1,0,0,1,0,12,1,0,1,0,0
"Dst-016_8961",9,1,2,1,1,2,1,0,0,0,0,4,2,0
"Dst-015_16340",6,3,4,0,0,3,0,0,0,0,0,2,0,16
"Dst-020_6039",0,0,0,1,0,0,1,0,0,0,0,0,0,3
"Dst-009_5729",28,22,31,60,29,20,39,20,34,46,59,55,111,45
"Dst-010_786",0,0,0,0,0,12,0,0,0,6,0,0,0,0
"Dst-011_776",0,2,0,0,40,20,0,0,11,0,0,51,0,0
"Ccdc115-001_1705",25,14,28,25,21,27,15,15,0,0,17,11,29,29
"Imp4-001_5836",8,6,7,10,6,9,12,5,2,2,9,7,0,1
"Imp4-004_658",0,11,4,5,3,13,0,0,0,0,15,0,0,0
"Imp4-003_997",2,0,0,0,0,0,9,7,0,0,0,13,0,0
"Imp4-002_762",3,9,6,0,3,0,4,0,40,0,5,0,0,0
"Ptpn18-002_1559",4,0,3,0,0,0,4,0,0,0,2,0,0,0
"Ptpn18-004_915",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Ptpn18-001_414",0,1,6,0,0,0,0,16,0,0,0,13,0,92
"Prss39-001_1267",0,0,0,0,0,0,0,0,0,0,0,0,0,0
