"","dg_d_1","dg_d_2","dg_d_3","dg_v_1","dg_v_2","dg_v_3","ca3_d_1","ca3_d_2","ca3_d_3","ca3_v_1","ca3_v_2","ca3_v_3","ca1_d_1","ca1_d_2","ca1_d_3","ca1_v_1","ca1_v_2","ca1_v_3"
"Gm14492",0,0,0,0,0,0,0,0,0,336,756,588,0,0,0,28,0,980
"Gm14493",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14494",112,252,364,28,28,140,84,28,112,224,84,140,140,168,112,28,28,140
"Gm14496",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14497",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14499",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14501",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14502",0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14503",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14504",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14505",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14506",0,0,0,28,28,0,0,0,0,252,0,84,588,0,0,0,0,0
"Gm14507",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14508",0,700,0,308,896,84,0,140,0,28,0,0,0,2576,0,0,0,28
"Gm14509",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14510",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14511",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14512",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14513",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14514",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14515",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14516",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14517",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14518",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14519",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14520",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14521",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14523",0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0
"Gm14524",0,0,0,0,0,0,0,112,0,0,0,28,0,0,0,0,0,0
"Gm14525",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14526",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14527",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14528",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14529",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14530",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14531",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14532",0,0,0,196,532,28,0,0,0,140,0,0,196,364,252,616,0,392
"Gm14533",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14534",0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14535",0,0,0,28,0,0,0,28,28,0,0,0,0,0,0,0,0,0
"Gm14536",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14537",0,0,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14538",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14539",0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14540",0,28,2128,3724,1988,1848,112,28,0,1260,168,28,420,0,0,28,0,420
"Gm14541",0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14542",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14543",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14544",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14546",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14547",0,0,0,0,0,56,0,0,0,0,84,0,0,0,0,0,0,0
"Gm14548",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14549",0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14550",0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0
"Gm14551",0,0,0,0,0,448,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14552",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14553",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14554",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14555",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14556",0,0,0,0,0,0,0,0,0,0,0,0,168,56,0,0,28,0
"Gm14557",0,0,0,28,84,140,196,0,0,0,0,0,112,56,0,0,0,0
"Gm14558",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14559",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14560",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14561",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14562",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14563",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14564",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14565",168,140,0,112,56,0,0,0,0,84,0,56,0,56,28,0,28,0
"Gm14566",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14567",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14568",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14569",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14570",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14571",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14572",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14573",0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0
"Gm14574",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14575",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14576",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14577",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14578",0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14579",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14580",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14581",0,0,0,0,0,28,0,0,0,0,0,28,0,0,0,0,0,0
"Gm14582",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
"Gm14584",0,168,756,1232,868,1848,2044,2240,2520,2184,2240,2520,2296,2016,1820,2268,2436,812
"Gm14585",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14586",1568,1092,1064,924,588,868,952,700,672,1176,1120,1316,1680,1764,1988,644,196,504
"Gm14587",0,0,0,0,28,168,0,0,0,0,0,0,0,0,0,280,0,0
"Gm14588",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14589",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14590",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14591",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14592",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14593",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14594",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14595",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14596",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14597",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14598",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14599",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14600",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14601",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14602",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14603",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14604",0,84,0,112,0,56,28,0,28,28,0,0,0,0,112,0,0,28
"Gm14605",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14606",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14607",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14608",0,0,0,0,0,0,0,84,0,0,28,0,0,28,0,0,0,0
"Gm14609",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14610",0,0,0,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14611",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14612",0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0
"Gm14613",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14614",0,0,0,0,0,0,0,0,0,0,0,0,168,0,28,0,0,0
"Gm14615",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14616",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14617",0,0,0,0,0,0,0,0,0,0,140,0,0,0,28,0,0,0
"Gm14618",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14619",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14620",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14621",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14622",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14623",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14624",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14625",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14626",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14627",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14628",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14629",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14630",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14631",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14632",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14633",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14634",0,168,28,224,1596,812,448,364,784,1288,336,616,56,476,28,812,56,840
"Gm14635",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14636",1260,4144,560,12236,12488,20020,3752,1344,952,9940,11396,3780,5236,9856,8736,7000,1400,2716
"Gm14637",0,0,0,28,0,252,252,0,168,0,112,1092,0,0,0,28,0,0
"Gm14638",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14639",0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,0,0,0
"Gm14640",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14641",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14642",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14643",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14644",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14645",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14646",0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14647",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14648",0,28,0,28,0,28,0,28,0,0,0,0,0,28,0,0,0,0
"Gm14649",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14650",0,0,0,28,0,0,0,0,0,0,0,28,0,0,0,0,0,0
"Gm14651",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14652",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14653",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14654",28,56,0,28,28,28,84,28,0,140,56,84,420,196,56,0,84,0
"Gm14655",0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14656",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14657",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14658",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14659",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14660",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14661",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14662",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14663",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14664",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14665",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14666",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14667",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14668",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14669",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14670",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14671",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14672",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14673",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14674",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14675",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0
"Gm14676",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14677",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14678",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14679",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14680",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14681",28,0,0,84,0,112,56,56,28,112,84,56,0,0,0,0,0,28
"Gm14682",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14683",392,924,308,1260,1008,560,532,616,672,868,756,420,420,336,1288,224,84,28
"Gm14684",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14685",0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0
"Gm14686",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14687",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14688",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14689",0,0,0,196,0,0,0,0,0,0,0,0,56,0,0,0,0,0
"Gm14690",0,0,0,0,28,0,0,0,28,0,0,0,0,28,0,0,0,0
"Gm14692",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14693",0,112,56,28,56,56,84,0,28,28,28,0,28,28,84,28,0,0
"Gm14694",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14695",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14696",0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,0
"Gm14697",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14698",2352,6524,1316,7196,6412,7196,2940,5628,5656,5096,7420,6244,9520,6048,4452,1092,1064,1624
"Gm14699",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14700",0,28,0,56,28,84,28,28,0,0,28,0,0,0,0,0,0,0
"Gm14701",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14702",0,0,0,28,0,112,0,0,0,0,0,0,0,0,56,0,0,28
"Gm14703",0,0,0,56,168,224,28,56,0,56,0,0,0,252,0,0,0,0
"Gm14704",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14705",0,0,0,0,0,588,0,0,0,0,0,28,0,0,0,0,0,0
"Gm14706",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14707",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14708",28,28,28,28,0,196,140,28,28,56,112,28,56,308,56,28,0,0
"Gm14709",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14710",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14711",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14712",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14713",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14714",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14715",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14716",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14717",0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,476,0,0
"Gm14718",0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,336
"Gm14719",0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0
"Gm14720",0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0
"Gm14721",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14722",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14723",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14724",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14725",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14726",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14727",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14728",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14729",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14730",0,0,0,0,0,0,0,0,28,28,56,0,28,0,28,0,0,0
"Gm14731",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14732",0,0,0,0,0,0,0,0,0,0,84,420,0,0,0,0,140,28
"Gm14733",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14734",0,0,0,28,0,56,28,56,0,0,0,0,0,0,0,0,0,0
"Gm14735",2268,2212,2548,4984,3612,6020,2072,1904,2828,2520,2576,2828,4396,4704,4508,1456,756,840
"Gm14736",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14737",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14738",1316,1904,140,7168,3696,4172,2324,840,1400,2856,2856,3500,7196,7000,4368,2688,364,868
"Gm14739",0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0
"Gm14740",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14741",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14742",28,112,28,56,112,112,0,0,0,0,28,56,112,0,0,56,0,28
"Gm14743",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14744",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14745",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14746",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14747",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14748",0,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14749",0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0
"Gm14750",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14751",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14752",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14753",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14754",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14755",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14756",0,0,0,0,0,0,0,0,28,0,0,0,28,0,0,0,0,0
"Gm14757",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14758",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14759",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14760",252,112,364,252,112,196,420,336,728,364,644,504,224,588,308,140,28,112
"Gm14761",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14762",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14763",84,28,28,336,56,308,84,28,0,28,0,56,84,0,0,0,0,0
"Gm14764",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14765",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14766",0,0,0,0,0,0,0,0,0,28,0,0,0,392,0,0,0,0
"Gm14767",0,0,0,112,0,0,0,252,0,0,0,0,0,0,56,0,0,0
"Gm14768",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14769",0,0,0,0,0,0,0,0,196,0,0,0,0,56,252,0,0,0
"Gm14770",0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,140,0,0
"Gm14771",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14772",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14773",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14774",7504,0,0,560,196,588,0,0,0,28,0,308,168,336,0,0,0,0
"Gm14775",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14776",0,56,0,1484,2940,2072,168,504,392,0,84,0,532,112,1092,0,28,0
"Gm14777",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14778",56,0,28,28,84,140,0,28,0,0,0,0,84,56,0,0,0,0
"Gm14780",0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0
"Gm14781",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14782",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14783",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14784",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14785",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14786",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14787",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14788",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14789",0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14790",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14791",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14792",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14793",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14794",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14795",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14796",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14797",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14798",0,0,0,56,56,56,28,0,0,0,140,0,28,112,0,0,0,0
"Gm14799",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14801",140,0,0,0,56,0,0,0,0,28,28,0,0,0,28,0,0,0
"Gm14802",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14803",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14804",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14805",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14806",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14807",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14808",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14809",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14810",0,0,28,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0
"Gm14811",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14812",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14813",140,0,0,0,0,0,0,0,0,56,0,84,28,28,56,0,0,0
"Gm14814",0,0,0,0,0,28,28,0,0,0,0,28,0,28,0,28,0,0
"Gm14815",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14816",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gm14817",0,0,0,952,140,952,336,0,84,252,0,224,532,280,1036,364,0,0
