"","143B-CA1-1","143B-DG-1","144B-CA1-1","144B-CA3-1","145B-CA1-1","145B-DG-1","146B-CA1-2","146B-CA3-2","146B-DG-2","147-CA1-4","147-CA3-4","147-DG-4","148-CA1-2","148-CA3-2","148-DG-2","148B-CA1-4","148B-CA3-4","148B-DG-4"
"Atp1a3",6072,3777,7724,2783,6458,2888,3726,8592,236,452,2344,271,6776,9603,3704,799,20136,1962
"Atp1a4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atp1b1",3378,3485,5349,1730,3678,1829,1902,5343,153,387,1382,116,3687,6193,2755,557,11492,1267
"Atp1b2",682,751,1022,211,1124,609,271,474,44,18,24,39,669,456,587,124,775,224
"Atp1b3",97,104,170,65,107,95,33,194,5,15,27,1,81,126,136,18,250,37
"Atp1b4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atp2a1",2,3,3,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1
"Atp2a2",1734,1314,2512,1008,1658,933,1328,2885,50,171,631,58,2440,3318,1222,378,5564,585
"Atp2a3",6,11,7,1,0,0,1,14,0,0,0,0,0,22,0,0,21,3
"Atp2b1",3875,1387,6025,1107,4697,1179,3443,1827,62,331,436,32,5717,2053,1344,779,3544,711
"Atp2b2",921,1097,1092,568,1157,1168,640,1208,31,55,303,50,964,1164,1137,159,2133,413
"Atp2b3",246,339,353,190,372,280,242,378,3,26,101,30,405,393,476,43,673,113
"Atp2b4",10,108,21,57,26,25,8,19,2,0,18,0,35,62,232,0,44,23
"Atp2c1",373,345,632,143,354,300,269,340,31,55,74,48,621,325,357,43,649,143
"Atp2c2",2,1,8,0,0,0,9,14,0,0,0,0,14,5,0,0,16,1
"Atp4a",4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atp4b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atp5a1",1400,1394,1889,775,1202,842,596,1451,72,75,713,66,1162,1908,1394,136,2957,713
"Atp5b",1593,2156,2501,1130,1613,1118,729,2316,89,145,703,62,1372,2780,1857,189,4049,840
"Atp5c1",242,259,312,136,224,154,70,298,2,9,80,19,232,347,175,49,443,101
"Atp5d",270,346,378,133,225,144,90,560,21,35,122,3,263,546,370,14,700,185
"Atp5e",103,144,140,50,103,63,40,99,6,8,95,0,59,111,116,17,165,63
"Atp5f1",295,393,560,159,270,165,113,395,50,33,189,11,392,415,282,61,634,171
"Atp5g1",213,229,366,95,153,168,73,314,9,26,226,0,146,386,388,64,452,142
"Atp5g2",93,180,203,50,70,63,28,163,1,9,96,9,108,69,177,10,186,30
"Atp5g3",362,417,399,219,174,163,134,394,10,28,179,3,170,488,305,24,563,137
"Atp5h",204,226,289,61,164,110,69,163,15,25,108,2,90,228,290,31,359,89
"Atp5j",125,138,225,104,105,81,67,156,17,7,48,1,77,209,177,17,269,72
"Atp5j2",106,129,182,72,154,77,43,147,1,25,95,1,92,156,101,0,174,67
"Atp5k",102,69,75,34,68,33,18,113,8,0,16,0,54,49,81,0,136,41
"Atp5l",148,159,175,71,106,73,38,139,8,12,85,1,166,113,215,8,235,86
"Atp5o",204,190,197,113,108,105,49,304,10,26,92,19,224,380,125,54,420,131
"Atp5s",9,10,6,1,14,8,24,32,7,11,1,0,31,25,8,9,33,4
"Atp5sl",37,60,60,26,66,13,25,69,0,0,16,1,43,61,24,24,69,21
"Atp6ap1",520,488,764,318,491,230,258,604,23,38,199,61,631,732,434,74,1390,171
"Atp6ap1l",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Atp6ap2",274,180,526,246,378,113,126,671,5,23,154,2,287,602,143,110,1041,89
"Atp6v0a1",927,1430,1302,697,1051,995,567,1560,53,152,353,60,1039,1784,1327,151,3247,435
"Atp6v0a2",124,139,105,66,176,122,120,111,10,11,8,1,82,135,157,16,186,67
"Atp6v0a4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atp6v0b",327,493,499,211,287,265,110,464,13,31,91,1,323,648,516,10,868,167
"Atp6v0c",996,1255,1550,1179,969,592,483,2674,53,106,882,57,884,2798,1046,180,5122,520
"Atp6v0d1",346,358,558,309,318,242,187,555,29,37,219,88,289,596,423,76,1113,141
"Atp6v0d2",0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Atp6v0e",29,94,36,12,84,58,10,23,1,6,0,0,65,41,55,0,53,7
"Atp6v0e2",479,705,692,485,610,394,238,1179,29,2,370,36,448,1366,706,85,2105,243
"Atp6v1a",615,1364,836,793,494,956,536,1416,70,45,617,63,768,1607,1630,100,2661,448
"Atp6v1b1",0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"Atp6v1b2",764,976,1035,777,805,756,496,1722,63,87,783,25,876,1971,1064,141,3298,484
"Atp6v1c1",369,372,467,386,395,265,205,682,25,36,326,2,321,794,436,67,1231,198
"Atp6v1c2",0,7,0,0,0,2,1,6,0,0,0,0,0,0,12,0,1,0
"Atp6v1d",262,396,369,231,248,229,116,416,22,36,201,4,307,596,528,23,683,164
"Atp6v1e1",429,461,538,353,390,243,166,725,28,33,368,6,314,793,624,55,1107,215
"Atp6v1e2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atp6v1f",132,100,166,71,80,67,40,116,6,11,40,0,116,150,122,17,192,56
"Atp6v1g1",81,80,161,40,85,47,23,60,9,43,83,2,40,126,104,19,171,67
"Atp6v1g2",875,874,1098,776,766,420,360,1504,57,75,559,23,878,1726,858,162,2183,408
"Atp6v1g3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atp6v1h",223,200,260,200,226,93,113,435,1,10,116,24,155,476,154,12,797,109
"Atp7a",10,5,23,1,17,11,4,12,0,0,0,0,36,0,0,6,34,1
"Atp7b",4,6,8,5,3,7,7,15,0,0,0,0,3,14,0,0,18,5
"Atp8a1",269,499,401,261,372,516,371,575,20,44,93,40,397,503,586,110,919,197
"Atp8a2",9,4,1,6,13,21,24,26,0,0,23,0,10,43,36,7,67,5
"Atp8b1",0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2
"Atp8b2",91,200,200,69,153,165,92,216,2,1,65,11,213,194,261,17,282,55
"Atp8b3",0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1,0
"Atp8b4",0,1,0,0,0,1,2,4,0,0,0,0,0,0,0,0,0,0
"Atp8b5",0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0
"Atp9a",849,523,1203,617,1166,252,494,1211,26,96,400,23,811,1361,537,74,2352,263
"Atp9b",131,210,191,59,113,185,95,194,1,0,36,1,103,208,262,36,236,57
"Atpaf1",37,104,92,35,65,57,51,152,5,0,50,2,77,189,81,19,159,52
"Atpaf2",33,32,30,9,10,28,17,44,7,0,0,2,29,53,61,0,79,15
"Atpif1",108,148,142,92,75,62,34,124,10,9,109,1,99,169,140,5,260,53
"Atr",18,43,57,8,10,26,29,26,4,0,4,0,17,25,34,11,29,6
"Atraid",63,61,84,36,92,47,31,74,1,0,17,0,65,89,101,8,154,52
"Atrip",34,37,52,19,0,38,13,21,0,0,1,0,8,10,67,16,31,16
"Atrn",473,464,626,197,371,390,457,647,21,24,85,5,605,578,348,99,855,220
"Atrnl1",127,266,145,80,79,220,114,161,9,20,22,5,144,145,259,10,316,77
"Atrx",296,532,498,138,324,510,293,248,34,48,125,4,388,353,522,49,457,166
"Atxn1",191,286,291,90,219,259,247,112,21,6,40,11,278,164,386,57,208,104
"Atxn10",411,469,612,303,448,314,224,613,17,35,341,27,217,717,538,66,969,241
"Atxn1l",43,83,113,23,99,45,73,91,0,0,1,0,78,45,54,16,106,22
"Atxn2",120,166,210,108,257,104,141,176,17,8,46,15,264,236,239,52,286,56
"Atxn2l",425,814,756,180,432,468,290,394,17,43,95,16,404,570,819,45,660,200
"Atxn3",71,47,76,53,48,32,63,51,1,2,24,0,77,101,31,10,109,31
"Atxn7",88,103,131,41,96,96,35,100,8,19,2,34,78,112,133,34,132,26
"Atxn7l1",44,89,125,53,38,86,31,43,11,18,17,1,78,59,204,13,76,28
"Atxn7l2",43,118,89,24,47,88,25,36,3,0,64,2,18,38,201,8,75,27
"Atxn7l3",406,276,607,289,378,261,214,517,20,40,209,43,390,689,325,37,679,95
"Atxn7l3b",264,420,282,204,266,257,203,371,20,20,122,30,204,448,383,67,532,168
"AU015836",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AU018091",0,0,0,0,0,3,0,2,0,0,8,0,9,0,1,0,0,0
"AU019823",27,36,36,7,36,22,30,52,1,4,0,0,57,25,68,0,43,22
"AU021092",3,0,7,0,0,0,0,0,0,0,0,0,12,5,0,0,8,1
"AU022252",85,63,75,27,91,62,25,87,0,0,21,23,31,136,146,6,90,30
"AU022751",0,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"AU040320",118,199,200,48,150,185,84,261,4,22,106,30,118,117,321,8,311,76
"AU041133",9,11,0,11,0,6,1,7,0,0,0,0,0,3,0,0,4,1
"Auh",78,101,137,56,58,38,48,114,2,7,39,0,67,160,96,6,174,63
"Aunip",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aup1",103,177,132,59,114,60,35,177,1,8,1,8,68,121,131,0,265,22
"Aurka",0,9,9,2,2,4,6,14,0,0,1,0,3,1,0,0,19,0
"Aurkaip1",70,119,82,27,33,48,14,75,1,0,14,3,56,94,65,0,124,41
"Aurkb",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aurkc",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Auts2",148,465,206,182,187,593,133,151,12,0,39,30,216,245,641,9,267,172
"AV320801",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aven",18,31,71,10,62,7,15,23,4,0,41,0,22,25,23,2,76,11
"Avil",11,13,10,4,11,0,0,5,0,0,0,0,0,0,14,0,2,0
"Avl9",74,126,145,42,138,108,90,115,11,14,25,18,184,72,73,20,118,33
"Avp",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"Avpi1",25,13,19,12,19,9,0,26,0,0,11,1,33,38,20,0,26,6
"Avpr1a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Avpr1b",0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
"Avpr2",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AW011738",1,4,8,3,0,0,3,2,0,0,0,0,5,0,10,0,3,4
"AW146154",17,2,8,14,1,7,0,2,0,0,0,0,2,0,33,0,7,1
"AW209491",16,11,27,14,13,11,10,30,0,0,0,0,13,47,48,0,44,8
"AW549877",63,119,92,47,101,89,46,150,3,0,0,7,100,81,89,11,169,40
"AW551984",7,0,1,1,0,0,0,0,0,0,0,0,0,14,0,0,0,6
"AW554918",10,22,21,6,18,10,16,20,0,10,0,0,0,34,33,0,40,15
"AW822073",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Awat1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Awat2",0,0,7,1,0,3,7,1,0,0,0,0,7,9,12,0,8,1
"Axdnd1",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Axin1",56,106,87,36,67,61,53,60,4,0,2,1,47,40,137,0,66,29
"Axin2",21,158,63,24,92,87,40,14,3,0,0,0,45,45,272,0,48,67
"Axl",91,52,84,49,102,21,42,73,0,0,0,16,59,37,37,27,90,23
"AY074887",1,1,0,0,0,3,0,0,0,0,0,0,0,10,0,0,3,1
"AY358078",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY761184",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY761185",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aym1",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Azgp1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Azi2",140,110,185,65,106,114,73,168,3,8,61,32,138,128,137,37,212,43
"Azin1",259,326,333,128,155,191,103,300,8,12,99,8,259,305,307,40,421,100
"Azin2",22,52,87,28,43,50,7,46,0,0,0,1,34,60,25,0,73,17
"B020004C17Rik",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"B020004J07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B020011L13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B020031M17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B130006D01Rik",0,6,0,3,3,1,1,0,0,0,0,0,0,0,0,1,1,0
"B230104I21Rik",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0
"B230118H07Rik",29,40,45,14,46,11,15,46,0,0,0,1,24,34,28,21,45,7
"B230217C12Rik",81,55,88,37,120,64,68,41,4,6,0,0,100,62,73,8,75,33
"B230219D22Rik",171,261,186,110,239,206,174,213,14,58,20,12,221,315,374,70,232,100
"B230307C23Rik",0,9,8,0,0,5,0,4,0,0,0,0,0,4,4,0,15,1
"B230359F08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B2m",89,48,99,53,67,16,35,66,0,0,17,0,73,48,38,16,173,31
"B3galnt1",23,63,54,24,21,40,20,41,1,1,51,0,26,88,43,2,155,36
"B3galnt2",20,103,36,11,42,29,27,15,4,16,0,19,15,31,80,0,54,26
"B3galt1",57,56,126,38,59,81,66,44,3,0,36,0,35,57,96,33,101,15
"B3galt2",60,55,33,33,29,55,23,62,7,1,0,1,83,62,150,13,83,37
"B3galt4",3,9,7,13,17,3,0,3,0,0,0,0,12,0,0,0,10,2
"B3galt5",94,158,103,66,112,114,56,193,17,7,61,2,72,176,252,6,245,76
"B3galt6",23,44,19,26,38,17,0,22,0,14,1,0,17,49,130,13,64,11
"B3gat1",913,610,1419,220,1186,439,504,768,22,86,158,11,973,595,908,115,997,298
"B3gat2",23,19,18,36,16,19,4,181,1,0,12,0,0,139,25,1,206,21
"B3gat3",198,120,277,139,277,46,107,365,11,23,97,0,214,388,123,11,705,71
"B3glct",28,3,16,17,32,15,14,39,0,0,0,33,36,45,27,14,54,11
"B3gnt2",64,26,65,10,98,25,16,0,0,0,8,4,14,38,0,0,36,24
"B3gnt3",0,9,3,0,0,0,2,0,0,0,0,0,11,0,0,0,3,2
"B3gnt4",0,0,0,0,0,0,0,0,0,0,18,0,13,2,0,0,3,0
"B3gnt5",0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,6,0
"B3gnt6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"B3gnt7",0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,4,0
"B3gnt8",6,3,3,6,0,3,1,13,0,0,0,0,0,5,9,0,9,0
"B3gnt9",22,1,4,0,0,3,0,2,0,0,0,0,0,7,1,0,6,7
"B3gntl1",13,8,0,3,12,14,4,33,0,2,0,0,37,19,0,0,21,2
"B430203G13Rik",3,12,7,0,0,12,0,3,0,1,0,0,0,5,0,0,1,1
"B430218F22Rik",0,0,1,0,0,0,0,1,11,0,0,0,1,0,11,0,1,0
"B430305J03Rik",11,0,0,0,0,0,1,0,0,0,64,1,12,0,0,0,0,0
"B430306N03Rik",15,7,4,0,11,9,1,10,0,2,0,0,8,5,0,0,17,1
"B4galnt1",342,308,468,176,317,103,157,411,11,24,176,2,321,414,241,36,692,110
"B4galnt2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"B4galnt3",0,6,50,0,5,0,1,0,0,0,0,0,13,0,7,0,0,1
"B4galnt4",205,281,223,142,213,197,63,326,8,62,100,17,154,276,307,1,511,112
"B4galt1",31,55,37,7,36,60,7,2,0,5,0,1,7,10,64,0,28,10
"B4galt2",140,116,150,71,179,74,56,129,5,9,15,10,201,135,126,19,218,48
"B4galt3",119,130,184,46,74,120,40,112,5,9,29,6,72,88,129,0,131,52
"B4galt4",55,60,121,2,49,102,28,47,1,1,0,0,27,52,77,2,105,38
"B4galt5",138,220,141,55,97,228,95,133,5,19,2,20,126,153,216,17,231,51
"B4galt6",436,375,618,280,405,453,380,604,37,16,179,41,426,613,575,60,943,159
"B4galt7",41,25,15,23,37,18,11,38,4,0,10,0,34,22,54,7,98,7
"B4gat1",261,254,247,138,240,129,77,287,9,1,59,5,206,333,224,32,695,91
"B630019K06Rik",68,66,46,36,41,42,36,105,0,0,42,0,58,141,64,4,140,10
"B930094E09Rik",0,1,0,2,0,2,3,0,0,2,0,6,0,0,0,0,3,0
"B9d1",7,43,8,12,30,12,9,0,0,0,0,0,30,25,4,0,16,11
"B9d2",32,31,20,16,5,18,14,28,0,37,0,0,12,20,13,2,24,6
"Baalc",41,56,34,23,60,39,3,79,3,0,1,0,59,66,35,0,71,17
"Baat",0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Babam1",122,120,139,38,103,62,43,86,3,41,26,1,97,181,96,20,119,27
"Bace1",140,238,280,131,211,175,104,240,2,2,1,3,344,302,212,33,432,89
"Bace2",6,0,5,0,1,0,2,0,0,0,0,0,0,1,0,7,3,1
"Bach1",44,75,41,11,65,27,14,27,5,6,0,0,29,35,36,2,42,12
"Bach2",2,33,79,20,6,29,40,29,0,4,0,1,46,39,62,0,89,9
"Bad",27,28,55,51,31,18,14,17,1,15,55,1,15,41,52,3,79,12
"Bag1",149,159,188,59,78,73,55,180,1,25,40,2,143,159,240,8,235,54
"Bag2",3,23,9,2,9,5,14,21,0,0,0,0,5,15,27,0,30,8
"Bag3",46,17,22,1,13,26,12,19,1,0,0,0,19,22,6,0,26,6
"Bag4",113,253,130,118,88,188,128,239,13,22,65,2,140,263,346,66,288,78
"Bag5",115,43,202,9,175,21,75,75,5,0,41,1,160,78,74,5,124,55
"Bag6",447,717,727,252,425,380,240,506,19,25,162,20,286,553,700,123,775,232
"Bahcc1",67,82,62,22,40,71,42,67,11,8,0,1,23,64,72,8,83,59
"Bahd1",129,193,247,95,244,129,139,132,1,18,35,0,227,136,150,39,254,39
"Baiap2",770,1469,1120,239,871,874,504,651,68,91,379,132,1096,752,2158,121,1012,474
"Baiap2l1",0,0,14,0,0,0,0,0,5,0,0,0,0,7,0,0,5,1
"Baiap2l2",2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Baiap3",0,3,0,0,0,1,0,0,0,0,0,0,0,19,0,0,6,0
"Bak1",11,45,20,17,31,13,1,13,0,0,0,0,13,15,13,0,33,4
"Bambi",14,90,7,1,6,51,1,0,0,0,0,0,1,1,68,0,10,40
"Banf1",40,68,62,19,51,49,10,93,7,3,32,0,27,50,42,0,68,10
"Banf2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bank1",0,0,1,2,0,0,1,25,0,0,19,0,0,9,0,0,5,1
"Banp",27,112,67,53,41,111,17,93,2,0,27,26,28,92,170,13,102,50
"Bap1",203,317,333,116,185,153,117,245,13,11,106,5,181,250,275,39,402,135
"Bard1",9,9,3,0,2,0,3,0,1,0,0,0,0,0,0,0,1,0
"Barhl1",0,0,0,0,0,2,1,0,0,0,0,0,10,0,0,0,0,5
"Barhl2",0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
"Barx1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barx2",3,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,8,0
"Basp1",775,768,1330,738,735,347,441,1516,22,104,699,13,749,1503,901,87,2190,394
"Batf",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Batf2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Batf3",0,9,18,0,0,2,1,0,0,0,0,0,15,0,16,0,0,0
"Bax",50,78,56,15,58,27,26,49,12,10,16,1,22,75,73,0,122,26
"Baz1a",6,11,3,3,4,1,4,0,0,0,0,0,17,14,3,0,5,4
"Baz1b",156,455,394,137,270,353,137,223,18,2,132,1,213,294,661,36,400,163
"Baz2a",87,254,158,101,193,164,143,173,9,0,19,1,272,251,330,31,371,95
"Baz2b",36,71,34,23,35,93,41,45,3,2,25,0,26,64,102,12,61,28
"BB014433",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB019430",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB287469",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bbc3",25,29,6,13,29,24,8,8,4,0,0,0,14,15,93,0,23,5
"Bbip1",60,68,54,16,50,44,7,60,1,0,28,19,50,46,40,7,79,17
"Bbof1",6,6,21,15,4,11,2,15,0,0,23,1,14,10,22,5,24,11
"Bbox1",0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,6,1
"Bbs1",99,158,98,66,85,79,29,67,1,0,2,4,55,120,153,3,120,71
"Bbs10",2,6,0,2,0,21,3,8,3,0,0,0,0,3,0,0,14,1
"Bbs12",9,5,2,9,13,19,1,18,0,0,12,0,0,2,8,0,5,3
"Bbs2",34,37,61,21,53,37,16,41,0,0,19,0,34,63,30,4,82,9
"Bbs4",56,86,111,32,26,75,33,83,3,1,1,1,52,47,142,2,137,81
"Bbs5",19,26,42,5,17,22,15,1,0,9,12,0,41,23,45,6,45,10
"Bbs7",22,55,57,18,41,21,15,20,1,0,20,1,20,46,55,4,59,7
"Bbs9",7,30,18,5,7,11,5,14,0,0,0,1,0,6,56,0,30,6
"Bbx",90,74,139,12,76,72,44,64,2,1,0,2,94,91,49,8,114,19
"BC003331",81,173,94,49,63,100,45,105,5,5,60,18,134,137,126,15,164,56
"BC003965",37,85,36,14,58,23,37,51,3,19,0,1,16,57,19,15,120,13
"BC004004",63,76,129,33,142,45,16,140,0,3,1,39,40,83,47,0,203,36
"BC005537",347,539,553,207,421,344,269,448,25,65,147,16,434,503,510,36,543,186
"BC005561",25,23,11,14,20,23,41,6,0,0,1,1,19,38,29,0,31,13
"BC005624",70,122,157,64,167,77,46,117,8,0,43,1,89,85,71,3,190,60
"BC016579",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BC017158",38,58,27,45,38,21,4,85,4,0,0,0,64,51,59,0,86,6
"BC017643",38,34,24,30,35,19,19,33,1,0,32,1,0,51,47,0,77,17
"BC021614",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BC021891",4,8,3,2,16,3,10,20,1,0,0,0,46,7,6,0,5,4
"BC022687",19,29,31,10,27,16,11,1,3,0,3,0,20,15,26,0,31,12
"BC024139",0,3,0,0,0,5,1,1,0,0,0,0,1,0,0,0,2,1
"BC024978",54,67,53,32,29,22,26,58,1,22,11,0,42,68,65,21,92,12
"BC025446",4,0,0,0,0,0,4,7,0,0,0,0,0,1,0,0,0,0
"BC025920",32,12,42,0,8,15,10,10,1,6,0,0,15,16,6,0,12,19
"BC026585",12,13,5,11,17,22,3,13,0,0,1,0,4,34,15,0,17,2
"BC027072",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BC028528",0,4,1,0,1,0,1,1,0,0,0,0,10,6,5,0,7,5
"BC029214",23,54,51,6,5,22,11,37,0,0,25,1,12,36,40,0,69,14
"BC029722",75,39,103,45,59,22,22,101,1,6,32,0,38,132,52,11,133,15
"BC030336",111,153,110,69,84,147,53,91,8,0,1,30,114,97,208,7,157,65
"BC030499",0,3,0,0,0,3,0,0,0,0,0,0,0,9,0,2,0,0
"BC030500",42,0,116,4,72,1,16,13,0,0,0,0,73,20,0,16,32,12
"BC030867",0,3,0,3,0,1,0,6,0,0,0,0,3,0,1,0,2,3
"BC030870",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
"BC031181",169,132,198,52,128,91,68,160,2,2,77,2,130,226,159,13,276,59
"BC034090",13,22,4,3,7,23,5,3,0,0,0,0,0,8,0,0,6,0
"BC035044",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"BC035947",0,5,16,1,7,9,1,2,0,0,0,0,0,0,0,0,0,1
"BC037034",134,109,203,59,163,60,46,198,7,19,91,14,136,209,130,2,327,62
"BC048403",27,15,43,23,41,15,16,31,0,0,0,0,17,21,33,0,45,17
"BC048502",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BC048507",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BC048546",3,2,2,5,1,1,0,8,0,0,0,0,15,25,14,0,35,2
"BC048562",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BC048671",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BC048679",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BC049352",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BC049702",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BC049715",0,1,0,0,0,14,2,2,0,0,0,0,14,9,0,0,4,0
"BC049730",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BC049762",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BC051019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BC051142",1,6,6,0,6,7,1,7,0,0,0,0,0,0,0,0,6,1
"BC051628",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BC051665",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BC052040",26,26,36,0,19,2,18,11,0,0,2,0,10,12,13,0,13,9
"BC053393",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0
"BC055324",0,9,18,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0
"BC061212",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BC061237",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BC067074",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"BC068281",12,14,31,5,14,20,6,10,0,0,0,67,39,31,24,0,32,3
"BC080695",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BC089491",7,0,5,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0
"BC089597",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BC094916",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BC100451",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0
"BC100530",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BC106179",7,9,22,7,7,7,1,8,0,0,0,0,0,16,9,0,8,3
"BC107364",0,6,0,0,0,16,0,0,0,0,0,0,0,1,0,0,3,3
"BC117090",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BC147527",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bcam",1,7,0,4,16,5,9,27,0,0,0,0,13,10,0,0,20,0
"Bcan",593,210,845,265,898,244,252,399,2,62,48,40,639,336,84,47,563,123
"Bcap29",52,51,88,33,36,27,20,126,5,4,19,1,31,74,36,8,133,9
"Bcap31",33,39,51,23,29,55,33,101,0,13,1,1,23,108,48,0,180,29
"Bcar1",38,191,58,98,70,185,43,103,16,5,0,0,68,179,309,8,198,71
"Bcar3",7,8,7,1,30,17,4,7,1,0,0,0,23,0,0,0,30,10
"Bcas1",46,102,102,39,32,57,20,195,0,10,11,32,27,97,56,10,217,48
"Bcas2",61,134,123,41,56,56,26,81,11,1,10,24,86,92,38,0,86,16
