"","pval","direction","color","enriched"
"0/9 Golgi transport complex",0.0173304024962653,0,"dodgerblue2","HOMO"
"39/272 side of membrane",5.64146530022673e-06,1,"firebrick1","DISS"
"0/11 immunoglobulin complex",0.0310613227439989,1,"firebrick1","DISS"
"4/42 cell periphery",0.0221166531820728,1,"firebrick1","DISS"
"61/381 plasma membrane region",0.0342672031650015,1,"firebrick1","DISS"
"4/17 MHC protein complex",0.00624148783164028,1,"firebrick1","DISS"
"4/10 MHC class I protein complex",0.00455043362899331,1,"firebrick1","DISS"
"219/1505 membrane-bounded vesicle",5.69873217828695e-08,1,"firebrick1","DISS"
"174/1126 extracellular membrane-bounded organelle",1.96222921036899e-11,1,"firebrick1","DISS"
"8/30 integrin complex",0.0205060209126479,1,"firebrick1","DISS"
"89/507 cell surface",1.39277102686797e-08,1,"firebrick1","DISS"
"5/12 phagocytic cup",0.00271534654237694,1,"firebrick1","DISS"
"88/590 cell-cell junction",0.0279500866258337,1,"firebrick1","DISS"
"115/628 anchoring junction",3.60510027727083e-09,1,"firebrick1","DISS"
"87/356 cell-substrate junction",1.07186377537308e-11,1,"firebrick1","DISS"
"2/44 spindle microtubule",0.0481121235300454,0,"dodgerblue2","HOMO"
"8/102 ciliary basal body",7.79944729573271e-05,0,"dodgerblue2","HOMO"
"1/46 spindle pole",0.0304671271290272,0,"dodgerblue2","HOMO"
"151/1308 cytoskeletal part",0.00125081943292913,0,"dodgerblue2","HOMO"
"0/14 gamma-tubulin complex",0.0293990806633132,0,"dodgerblue2","HOMO"
"40/516 microtubule organizing center",0.00198709659801453,0,"dodgerblue2","HOMO"
"138/1238 cytoskeleton",0.00579467567975298,0,"dodgerblue2","HOMO"
"6/92 centriole",0.00624148783164028,0,"dodgerblue2","HOMO"
"7/130 microtubule organizing center part",3.28573519992184e-05,0,"dodgerblue2","HOMO"
"0/10 mRNA cap binding complex",0.0308192399861824,0,"dodgerblue2","HOMO"
"5/19 sarcoplasmic reticulum membrane",0.00513358786938413,0,"dodgerblue2","HOMO"
"44/250 transporter complex",0.00261873275788406,0,"dodgerblue2","HOMO"
"25/129 cation channel complex",0.0279500866258337,0,"dodgerblue2","HOMO"
"23/161 site of polarized growth",0.0499224793533657,0,"dodgerblue2","HOMO"
"2/8 ribbon synapse",0.0327141111694512,0,"dodgerblue2","HOMO"
"8/49 neuron projection membrane",0.0300009407497626,0,"dodgerblue2","HOMO"
"123/864 cell projection part",0.000311333502251297,0,"dodgerblue2","HOMO"
"40/257 axon part",0.046907637210121,0,"dodgerblue2","HOMO"
"6/12 axon initial segment",0.0283184985062848,0,"dodgerblue2","HOMO"
"0/16 inhibitory synapse",0.0472649981003361,0,"dodgerblue2","HOMO"
"3/15 asymmetric synapse",0.0279500866258337,0,"dodgerblue2","HOMO"
"69/506 synapse",0.0013627439043605,0,"dodgerblue2","HOMO"
"39/237 synaptic membrane",1.24672041287511e-08,0,"dodgerblue2","HOMO"
"42/210 postsynaptic density",5.70460169029358e-07,0,"dodgerblue2","HOMO"
"83/522 synapse part",2.41611592486472e-09,0,"dodgerblue2","HOMO"
"25/130 neuron spine",0.00293182371499762,0,"dodgerblue2","HOMO"
"11/58 dendritic shaft",0.000518912653877025,0,"dodgerblue2","HOMO"
"68/413 dendrite",2.751683254485e-05,0,"dodgerblue2","HOMO"
"189/1239 neuron part",0.00839530167851843,0,"dodgerblue2","HOMO"
"6/76 pore complex",0.00768086942960351,0,"dodgerblue2","HOMO"
"2/18 nuclear periphery",0.0481121235300454,0,"dodgerblue2","HOMO"
"51/347 vacuole",0.0224300148010144,1,"firebrick1","DISS"
"0/7 TORC1 complex",0.0119407120158433,0,"dodgerblue2","HOMO"
"28/175 myelin sheath",5.82692007746069e-07,1,"firebrick1","DISS"
"10/87 oxidoreductase complex",0.00110979732849881,1,"firebrick1","DISS"
"24/170 mitochondrial membrane part",1.08676789345701e-05,1,"firebrick1","DISS"
"6/42 respiratory chain complex I",3.96798958744694e-06,1,"firebrick1","DISS"
"67/725 mitochondrial part",5.36985907416846e-07,1,"firebrick1","DISS"
"6/14 respiratory chain complex IV",0.0122644514807042,1,"firebrick1","DISS"
"8/26 cytochrome complex",0.000311333502251297,1,"firebrick1","DISS"
"51/495 mitochondrial membrane",3.72225881209388e-07,1,"firebrick1","DISS"
"131/1373 organelle membrane",0.0221166531820728,1,"firebrick1","DISS"
"39/386 organelle inner membrane",1.53731473221805e-08,1,"firebrick1","DISS"
"2/11 respiratory chain complex III",0.0499224793533657,1,"firebrick1","DISS"
"2/19 proton-transporting two-sector ATPase complex, proton-transporting domain",0.0145061107064676,1,"firebrick1","DISS"
"2/10 proton-transporting ATP synthase complex, coupling factor F(o)",0.0224300148010144,1,"firebrick1","DISS"
"5/29 proton-transporting two-sector ATPase complex",9.84125564129904e-05,1,"firebrick1","DISS"
"125/1424 mitochondrion",0.00039075068132742,1,"firebrick1","DISS"
"4/16 mitochondrial proton-transporting ATP synthase complex",9.88953617259136e-05,1,"firebrick1","DISS"
