"","142C_CA1","142C_DG","143C_CA1","143C_DG","143C-CA1-1","143D-CA1-3","143D-DG-3","144C-CA1-2","144C-CA3-2","144C-DG-2","144D-CA3-2","144D-DG-2","146C-CA1-4","146C-DG-4","146D-CA1-3","146D-CA3-3","146D-DG-3","147C-CA1-3","147C-CA3-3","147C-DG-3","147D-CA3-1","147D-DG-1"
"1520401A03Rik",4,0,2,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"1600002H07Rik",20,10,14,4,5,0,9,6,0,15,7,21,3,1,2,2,2,8,33,22,14,89
"1600002K03Rik",35,4,26,1,9,0,1,0,0,6,14,4,1,3,15,0,0,5,40,14,11,9
"1600012H06Rik",14,20,27,19,9,2,10,13,1,16,7,25,4,1,2,26,0,10,26,27,34,78
"1600014C10Rik",9,6,22,8,6,2,3,8,4,7,8,18,4,1,1,8,0,10,20,9,16,32
"1600014C23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1600015I10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001C02Rik",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"1700001C19Rik",4,3,3,0,0,0,2,2,1,0,0,4,0,1,4,2,0,0,8,3,0,17
"1700001F09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700001J03Rik",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1700001K19Rik",33,28,25,0,6,0,3,5,0,8,1,10,8,0,0,15,0,4,19,32,6,41
"1700001L19Rik",12,0,67,45,11,31,6,16,0,6,7,26,14,1,0,5,0,20,16,25,11,44
"1700001O22Rik",23,11,86,18,30,18,7,26,0,1,8,22,21,1,0,0,0,21,0,9,0,11
"1700001P01Rik",0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,2,0,21
"1700003E16Rik",32,37,44,40,10,19,12,32,8,11,37,47,7,5,8,22,0,26,42,30,36,82
"1700003F12Rik",0,4,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,1,4,2,10
"1700003H04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006A11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700006E09Rik",5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"1700007B14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007G11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700007K09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"1700007K13Rik",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,2,0
"1700008O03Rik",2,4,0,18,0,0,0,0,0,0,2,2,0,0,0,2,0,4,7,0,0,0
"1700008P02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700009N14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010B08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700010I14Rik",8,0,6,0,4,2,1,0,0,3,4,0,4,0,0,8,0,0,0,2,0,2
"1700011E24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
"1700011H14Rik",0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0
"1700011I03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011L22Rik",0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700011M02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"1700012A03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012B07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012B09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012L04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700012P22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013D24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013F07Rik",2,0,9,0,2,0,2,6,0,6,0,0,0,0,0,0,0,3,0,4,0,0
"1700013G24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700013H16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700014D04Rik",0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
"1700015E13Rik",28,9,2,0,3,0,0,0,0,1,3,7,7,0,0,5,0,5,0,0,0,1
"1700015F17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700015G11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016C15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1700016D06Rik",1,15,6,11,0,0,0,3,1,2,1,5,0,0,0,0,0,4,7,11,0,20
"1700016H13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700016K19Rik",0,7,0,1,0,0,0,0,0,0,0,11,0,0,0,0,0,2,0,2,0,0
"1700017B05Rik",49,41,77,90,23,21,5,41,62,45,87,74,29,7,0,238,0,29,178,66,130,265
"1700017D01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700017N19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018B08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018C11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700018F24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019A02Rik",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
"1700019B03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
"1700019D03Rik",4,7,1,8,1,1,1,3,1,2,1,3,0,1,0,1,0,1,7,4,9,26
"1700019N19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700019O17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"1700020A23Rik",0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"1700020D05Rik",4,5,12,16,1,3,6,6,0,0,0,17,0,0,0,8,0,3,1,10,7,56
"1700020L24Rik",3,0,0,0,2,0,0,0,0,0,0,1,0,0,0,4,0,0,9,0,4,2
"1700020N01Rik",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700020N15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700021F05Rik",36,16,22,8,19,6,3,20,8,10,13,28,0,2,0,14,0,9,16,20,26,77
"1700021F07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700022I11Rik",0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,9
"1700023F06Rik",0,2,9,1,1,1,0,1,0,0,2,2,0,0,0,1,0,1,0,2,4,6
"1700024B05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700024G13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700024P04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700024P16Rik",14,3,8,0,2,2,0,4,0,1,6,0,0,0,0,15,0,2,0,0,0,0
"1700025B11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025C18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025F22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700025G04Rik",83,212,170,147,50,12,35,76,28,91,58,222,14,21,3,64,5,49,160,196,170,386
"1700027J19Rik",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1700028J19Rik",0,1,5,0,2,0,0,1,5,2,6,0,1,0,0,5,0,1,6,2,6,0
"1700028K03Rik",0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4
"1700028P14Rik",0,0,0,8,4,0,0,0,0,3,0,3,0,0,1,0,0,0,4,1,0,12
"1700029F12Rik",0,0,4,0,0,0,0,7,2,0,0,2,0,0,0,0,0,0,4,4,5,0
"1700029H14Rik",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700029I15Rik",3,0,4,11,4,0,2,4,2,1,1,5,1,0,0,2,0,2,3,8,3,16
"1700029J07Rik",0,3,12,12,0,4,2,4,3,2,2,3,3,6,0,0,0,2,4,8,7,41
"1700029P11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,0,0,0
"1700030J22Rik",20,4,42,0,3,2,2,8,2,3,6,14,6,0,0,24,0,16,19,10,3,28
"1700030K09Rik",38,26,15,28,8,15,5,13,2,20,2,31,0,2,0,6,0,15,18,14,22,108
"1700031F05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700031M16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700034E13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700034I23Rik",39,0,5,22,3,0,5,1,0,2,5,4,0,0,9,0,0,0,25,3,0,23
"1700034J05Rik",0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,4,0,1,0,2,1,0
"1700034O15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700037C18Rik",4,5,6,4,1,0,1,1,0,1,3,2,1,0,1,0,0,4,2,3,6,0
"1700037H04Rik",15,3,23,4,11,8,1,21,5,7,13,11,9,2,2,15,0,18,39,6,30,25
"1700040F15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700040L02Rik",0,3,1,0,1,0,2,2,1,0,2,0,0,0,0,0,0,2,5,1,5,1
"1700042G07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700047I17Rik2",0,3,40,19,34,0,4,45,15,16,72,48,0,2,0,38,0,27,132,39,55,146
"1700048O20Rik",43,16,43,16,9,6,5,12,7,20,6,17,4,2,1,0,0,9,9,47,16,89
"1700049E17Rik1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700049E17Rik2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700056E22Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700057G04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
"1700061G19Rik",1,4,16,0,0,8,1,0,0,9,0,3,4,0,0,0,0,0,0,6,0,41
"1700064H15Rik",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"1700066B19Rik",16,14,7,2,1,0,2,1,0,1,1,12,3,0,0,10,0,2,39,8,2,33
"1700066M21Rik",174,41,171,60,62,25,20,118,35,38,57,92,49,2,19,55,0,78,127,70,115,160
"1700067K01Rik",4,0,1,0,0,0,0,1,0,0,0,2,0,0,0,3,0,0,0,0,0,7
"1700067P10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700069L16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700074P13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700080E11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700080O16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700084M14Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700086D15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700088E04Rik",1,1,1,1,0,0,0,2,0,0,1,1,0,0,0,1,0,1,0,2,0,2
"1700092M07Rik",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"1700093K21Rik",0,8,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,3
"1700102P08Rik",0,10,4,10,0,0,1,0,1,1,0,2,0,0,0,0,0,1,13,5,0,12
"1700109H08Rik",2,6,4,0,1,2,3,1,0,1,0,4,0,0,0,1,0,1,1,5,4,4
"1700112E06Rik",2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2,1,1,0,2
"1700113H08Rik",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4
"1700122O11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700123K08Rik",0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700123L14Rik",0,14,14,1,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,2,1,0
"1700123O20Rik",23,10,77,52,21,13,5,40,10,16,26,52,6,9,0,52,0,44,144,22,34,115
"1700125H20Rik",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1700128F08Rik",128,143,175,96,15,29,26,48,2,36,26,75,15,7,4,10,0,26,21,122,44,159
"1700129C05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1810009A15Rik",25,10,28,7,9,0,3,15,10,3,9,10,0,3,2,0,0,3,38,8,17,39
"1810009J06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1810010H24Rik",6,21,7,32,6,0,10,8,4,17,4,16,2,7,0,0,0,3,2,19,2,75
"1810011H11Rik",0,0,0,0,3,0,0,1,0,1,0,0,2,0,0,0,0,1,0,3,0,0
"1810011O10Rik",0,0,1,0,1,0,0,3,0,1,0,2,1,0,0,0,0,2,48,6,0,5
"1810013L24Rik",254,301,448,201,116,21,32,156,45,160,99,231,54,26,13,186,0,161,401,294,214,783
"1810022K09Rik",10,5,20,2,3,7,3,6,10,3,7,15,0,2,2,3,0,6,14,9,10,27
"1810024B03Rik",8,0,2,3,1,0,0,4,0,2,3,3,1,0,0,4,0,1,0,4,2,7
"1810026J23Rik",222,201,382,199,179,55,104,202,93,228,154,484,79,51,38,203,5,174,229,410,285,1076
"1810030O07Rik",97,260,133,111,45,22,40,60,15,67,32,113,16,14,43,66,0,103,151,137,84,295
"1810032O08Rik",8,7,4,2,1,0,1,2,2,2,2,3,2,0,0,1,0,3,5,5,3,12
"1810037I17Rik",88,30,121,27,29,27,13,48,48,33,105,33,2,5,10,20,8,45,106,57,118,71
"1810041L15Rik",57,170,20,145,10,2,33,23,25,91,27,198,6,20,5,55,2,11,80,171,80,467
"1810043G02Rik",96,33,74,47,24,12,12,24,19,28,44,61,16,4,0,15,0,33,70,57,78,165
"1810043H04Rik",8,8,13,12,12,4,4,8,1,6,14,15,10,2,2,6,0,10,10,10,47,73
"1810046K07Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1810049J17Rik",0,15,21,18,6,12,5,18,5,18,28,26,10,0,4,32,1,27,16,24,32,111
"1810055G02Rik",95,55,135,141,57,20,22,43,7,64,35,63,35,7,12,33,5,58,77,105,131,329
"1810062G17Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"1810065E05Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2010003K11Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2010005H15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"2010106E10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2010107E04Rik",104,63,131,35,116,41,44,106,56,70,179,147,28,7,6,101,0,91,127,103,301,291
"2010107G23Rik",6,4,10,4,3,4,2,4,2,4,5,11,2,2,1,5,1,5,9,6,12,17
"2010109A12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
"2010109I03Rik",0,16,25,15,3,0,2,2,0,11,6,27,39,0,0,0,0,4,40,17,7,14
"2010111I01Rik",63,115,50,49,25,8,14,32,16,40,27,23,21,14,7,32,0,20,51,95,92,67
"2010300C02Rik",1383,1693,2364,1233,860,339,428,995,66,958,158,1934,441,188,146,397,28,977,210,1800,235,5981
"2010315B03Rik",13,5,13,7,7,4,6,16,4,7,5,10,7,0,2,5,0,11,8,14,8,23
"2200002D01Rik",6,2,2,1,0,0,0,0,0,5,0,1,0,0,1,0,1,0,5,2,0,3
"2200002J24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2210010C04Rik",3,1,2,0,3,0,0,0,0,0,1,1,0,1,0,6,0,2,0,6,12,0
"2210011C24Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2210013O21Rik",20,6,13,12,7,2,4,8,6,6,7,12,3,1,4,7,0,8,20,6,11,27
"2210016F16Rik",48,24,121,22,21,28,10,65,10,18,27,19,32,3,1,11,3,41,34,27,32,115
"2210016L21Rik",129,67,166,74,62,42,30,114,44,69,73,130,29,17,18,91,6,93,101,101,114,391
"2210017I01Rik",50,12,10,7,0,0,2,4,0,4,1,2,93,0,0,0,1,3,2,8,0,16
"2210407C18Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2210408I21Rik",11,19,81,2,33,17,5,33,21,7,14,14,7,2,1,10,0,26,47,20,37,31
"2210418O10Rik",18,14,35,18,4,6,3,13,3,6,6,17,3,2,0,7,0,12,15,14,10,18
"2300002M23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2300003K06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2300009A05Rik",6,3,25,37,26,10,5,12,13,23,21,49,37,0,0,9,0,14,48,26,12,97
"2310002L09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2310003L06Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2310007B03Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2310009B15Rik",0,11,18,18,4,0,6,13,12,9,11,18,0,2,0,14,0,10,16,20,18,61
"2310011J03Rik",84,49,117,38,55,19,29,88,26,28,45,120,33,0,16,22,6,76,110,67,95,300
"2310022A10Rik",11,10,29,17,9,8,4,24,5,12,6,23,5,5,2,13,2,15,17,19,17,50
"2310022B05Rik",134,110,163,229,46,19,65,82,72,81,108,168,16,27,29,97,0,128,643,195,217,590
"2310030G06Rik",0,0,0,0,0,1,0,8,2,1,3,1,0,0,0,0,0,0,0,0,0,0
"2310033P09Rik",122,60,87,54,57,30,12,46,18,31,28,66,20,10,0,2,0,47,41,60,113,138
"2310034C09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2310035C23Rik",52,60,145,43,34,12,19,47,23,32,26,85,29,5,9,66,3,38,74,88,79,206
"2310036O22Rik",170,103,230,115,82,47,70,121,113,130,110,277,58,22,2,93,11,139,186,222,196,532
"2310039H08Rik",31,1,1,0,6,0,3,11,0,11,5,12,0,0,0,0,0,3,0,10,3,21
"2310046K23Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2310050C09Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2310057J18Rik",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
"2310057M21Rik",22,23,26,17,17,4,4,21,8,11,13,29,3,3,7,25,0,18,36,24,10,75
"2310057N15Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2310061I04Rik",27,26,40,17,13,7,6,18,9,11,19,29,8,3,1,14,1,19,26,28,24,88
"2310061N02Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2310079G19Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2410002F23Rik",10,10,21,12,10,1,8,10,5,8,7,18,4,1,0,9,0,13,15,15,16,61
"2410004B18Rik",5,14,20,16,10,4,4,6,2,8,11,15,3,0,0,17,1,10,25,9,28,47
"2410004P03Rik",33,12,17,23,2,6,2,5,0,3,0,10,0,3,6,2,2,2,6,12,6,17
"2410015M20Rik",45,27,96,67,46,19,27,33,39,29,59,87,14,18,0,12,0,38,86,52,110,231
"2410016O06Rik",37,64,65,40,51,28,22,42,17,59,27,78,5,5,0,35,0,59,104,102,33,395
"2410089E03Rik",777,815,1082,570,209,142,134,400,67,234,165,529,151,38,46,245,30,339,452,621,368,1243
"2410131K14Rik",220,69,167,110,57,52,15,158,21,76,44,154,10,11,1,82,0,92,235,103,136,201
"2410137M14Rik",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0
"2410141K09Rik",2,1,0,8,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,1,0,7
"2510002D24Rik",38,10,20,10,7,3,2,15,7,6,11,19,7,3,4,7,0,14,19,11,8,46
"2510009E07Rik",197,166,570,125,153,56,27,211,42,94,141,145,139,13,18,189,0,177,374,191,148,461
"2510039O18Rik",122,88,158,101,59,49,37,46,28,63,70,137,30,14,1,84,1,81,143,132,194,542
"2610001J05Rik",3,13,26,13,4,1,4,4,1,8,5,19,1,1,0,2,0,7,12,10,17,28
"2610002M06Rik",212,156,441,90,135,40,36,142,74,78,145,246,56,28,18,211,0,147,186,128,241,512
"2610008E11Rik",187,124,162,130,58,19,47,60,37,67,51,144,50,8,12,108,0,93,103,150,95,713
